Toshio Fukuda,Ning Xi,Gerd Hirzinger,Atsuo Takanishi,Shigeo Hirose,Yoshihiko Nakamura,Wan Kyun Chung,Roland Siegwart,Masayuki Inaba,Gaurav S. Sukhatme,
Hiroshi Ishii 0001,Brad A. Myers,Ravin Balakrishnan,Mary Czerwinski,James A. Landay,Stephen A. Brewster,Elizabeth D. Mynatt,Gregory D. Abowd,Patrick Baudisch,Clifford Nass,
Philip S. Yu,Jiawei Han 0001,Divesh Srivastava,Surajit Chaudhuri,Nick Koudas,Beng Chin Ooi,Dhabaleswar K. Panda,H. V. Jagadish,Kian-Lee Tan,Christos Faloutsos,
Thomas S. Huang,Wen Gao 0001,Aggelos K. Katsaggelos,C.-C. Jay Kuo,Ioannis Pitas,Bernd Girod,Oscar C. Au,HongJiang Zhang,Ahmed H. Tewfik,Rama Chellappa,
Keikichi Hirose,Satoshi Nakamura 0001,Nobuaki Minematsu,Kiyohiro Shikano,John H. L. Hansen,Tatsuya Kawahara,Alex Acero,Hermann Ney,Lin-Shan Lee,Seiichi Nakagawa,
David E. Goldberg,Byung Ro Moon,Riccardo Poli,Kumara Sastry,Martin Pelikan,Hitoshi Iba,Conor Ryan,Hisao Ishibuchi,Risto Miikkulainen,Kalyanmoy Deb,
Jay F. Nunamaker Jr.,Gert-Jan de Vreede,Robert O. Briggs,Robert J. Kauffman,Sajda Qureshi,Nicholas C. Romano Jr.,Starr Roxanne Hiltz,Eric K. Clemons,Dickson K. W. Chiu,Douglas R. Vogel,
Maarten de Rijke,Douglas W. Oard,Gareth J. F. Jones,Fernando Llopis,Hsin-Hsi Chen,Thomas Mandl 0001,Fredric C. Gey,Mark Sanderson,Julio Gonzalo,Felisa Verdejo,
Kaushik Roy 0001,Mahmut T. Kandemir,Massoud Pedram,Sudhakar M. Reddy,Irith Pomeranz,Luca Benini,David Blaauw,Andrew B. Kahng,Kwang-Ting Cheng,Nikil D. Dutt,
Lionel C. Briand,Gregg Rothermel,Barry W. Boehm,Mary Jean Harrold,Richard C. Holt,Giuliano Antoniol,Mario Piattini,Kevin J. Sullivan,Mark Harman,Michael D. Ernst,
Erik D. Demaine,Piotr Indyk,Micha Sharir,Pankaj K. Agarwal,S. Muthukrishnan,Moses Charikar,Uri Zwick,Sanjeev Khanna,Mikkel Thorup,Sariel Har-Peled,
Nicholas R. Jennings,Tuomas Sandholm,Michael Wooldridge,Milind Tambe,Victor R. Lesser,Sarit Kraus,Munindar P. Singh,Sandip Sen,Peter Stone,Katia P. Sycara,
Norman C. Beaulieu,John M. Cioffi,K. J. Ray Liu,Khaled Ben Letaief,Mario Gerla,Robert Schober,Xuemin Shen,Victor O. K. Li,C.-C. Jay Kuo,Georgios B. Giannakis,
James J. Cimino,Mark A. Musen,David W. Bates,Vimla L. Patel,Lucila Ohno-Machado,George Hripcsak,Gilad J. Kuperman,Samson W. Tu,Carol Friedman,Clement J. McDonald,
Xiaowen Li,Jiancheng Shi 0001,Adriano Camps,Bingfang Wu,Qinhuo Liu,Jordi J. Mallorqu,Masanobu Shimada,Martti Hallikainen,Xiuwan Chen,Jindi Wang,
