Toshio Fukuda,Sebastian Thrun,Ning Xi,Manuela M. Veloso,Atsuo Takanishi,Gerd Hirzinger,Rdiger Dillmann,Wolfram Burgard,Roland Siegwart,Masayuki Inaba,
Erik D. Demaine,Moti Yung,Bart Preneel,Hideki Imai,Reihaneh Safavi-Naini,Paul G. Spirakis,Colin Boyd,Feng Bao 0001,David Peleg,Micha Sharir,
Thomas S. Huang,Edwin R. Hancock,Wen Gao 0001,C.-C. Jay Kuo,Josef Kittler,HongJiang Zhang,Rama Chellappa,Anil K. Jain 0001,Gerhard Rigoll,Bernd Girod,
Philip S. Yu,Jiawei Han 0001,Hans-Peter Kriegel,Elke A. Rundensteiner,Gerhard Weikum,Katsumi Tanaka,Kian-Lee Tan,Divyakant Agrawal,Elisa Bertino,Divesh Srivastava,
Emilio Luque,Hyunseung Choo,Marian Bubak,Marek Tudruj,Youngsong Mun,Michel Raynal,Jack J. Dongarra,Hee Yong Youn,Dieter Kranzlmller,Vicente Hernndez,
Wayne Luk,Hitoshi Isahara,Hermann Ney,Peter Y. K. Cheung,Jun'ichi Tsujii,Yuji Matsumoto 0001,Jinxiang Dong,Narayan C. Debnath,Hsin-Hsi Chen,Masaki Murata,
Mario Piattini,Nicholas R. Jennings,James Noble 0001,Michael Wooldridge,John-Jules Ch. Meyer,Thomas A. Henzinger,Leendert W. N. van der Torre,John Mylopoulos,Stphane Ducasse,Moshe Y. Vardi,
Kaushik Roy 0001,Sudhakar M. Reddy,Mahmut T. Kandemir,Irith Pomeranz,Massoud Pedram,Luca Benini,Andrew B. Kahng,Francky Catthoor,Narayanan Vijaykrishnan,David Blaauw,
Lajos Hanzo,Ping Zhang 0003,Dacheng Yang,Kenneth R. Koedinger,Rahim Tafazolli,Lie-Liang Yang,Alan Burns,Guy Pujolle,Haifeng Wang,Mamoru Sawahashi,
Makoto Takizawa,Minglu Li 0001,Hai Jin,Hsinchun Chen,Maarten de Rijke,Tharam S. Dillon,Tomoya Enokido,Edward A. Fox,Jiannong Cao,Elizabeth Chang,
Kinshuk,Toshio Okamoto,Tak-Wai Chan,Wil M. P. van der Aalst,Toby Walsh,Diane J. Cook,Yoneo Yano,Pascal Van Hentenryck,Erkki Sutinen,Heinz Ulrich Hoppe,
Jay F. Nunamaker Jr.,Helmut Krcmar,Gert-Jan de Vreede,Hans-Peter Meinzer,Jean Vanderdonckt,Gregory D. Abowd,Fabio Patern,Ravin Balakrishnan,Robert O. Briggs,Steve Benford,
Dhabaleswar K. Panda,Ron Kikinis,Jos Duato,Nicholas Ayache,Ian T. Foster,P. Sadayappan,Joel H. Saltz,Guang-Zhong Yang,Simon K. Warfield,Alok N. Choudhary,
Mario Gerla,Donald F. Towsley,Norman C. Beaulieu,Sajal K. Das,Azzedine Boukerche,J. J. Garcia-Luna-Aceves,David E. Goldberg,Hussein T. Mouftah,K. J. Ray Liu,Hossam S. Hassanein,
Hans-Peter Seidel,Thomas Ertl,Daniel Thalmann,Ming C. Lin,Markus H. Gross,Nadia Magnenat-Thalmann,Bernd Hamann,Arie E. Kaufman,Alan Chalmers,Wolfgang Straer,
