Ron Kikinis,Nicholas Ayache,Hans-Peter Meinzer,Guang-Zhong Yang,Simon K. Warfield,Daniel Rueckert,Paul Suetens,Heinz-Otto Peitgen,Carl-Fredrik Westin,James S. Duncan,
Moti Yung,Hideki Imai,Bart Preneel,James J. Cimino,Reihaneh Safavi-Naini,Colin Boyd,Mark A. Musen,Feng Bao 0001,Willy Susilo,David A. Wagner 0001,
Mahmut T. Kandemir,Kaushik Roy 0001,Sudhakar M. Reddy,Irith Pomeranz,Mario Gerla,Francky Catthoor,Wayne Luk,Luca Benini,Massoud Pedram,Narayanan Vijaykrishnan,
Constantine Stephanidis,Amin Vahdat,M. Frans Kaashoek,Robert Tappan Morris,Peter Druschel,Rudolf Wille,Scott Shenker,Gregory R. Ganger,Klaus Miesenberger,David Mazires,
Dhabaleswar K. Panda,Jos Duato,Emilio Luque,Jack J. Dongarra,Ian T. Foster,Marian Bubak,P. Sadayappan,Jess Labarta,Vaidy S. Sunderam,Alok N. Choudhary,
Hans-Peter Seidel,Thomas Ertl,Daniel Thalmann,Ming C. Lin,Markus H. Gross,Nadia Magnenat-Thalmann,Arie E. Kaufman,Bernd Hamann,Alan Chalmers,Wolfgang Straer,
Philip S. Yu,Jiawei Han 0001,Hans-Peter Kriegel,Katsumi Tanaka,Elke A. Rundensteiner,Elisa Bertino,Divyakant Agrawal,Gerhard Weikum,Kian-Lee Tan,Hsinchun Chen,
Hermann Ney,Alex Waibel,Hitoshi Isahara,Kiyohiro Shikano,Satoshi Nakamura 0001,Keikichi Hirose,David E. Goldberg,Alex Acero,Riccardo Poli,John H. L. Hansen,
Barry Smyth,Toby Walsh,Thomas Eiter,Torsten Schaub,Chew Lim Tan,Maarten de Rijke,Tuomas Sandholm,Ching Y. Suen,Hans Tompits,Henri Prade,
Mario Piattini,Bernd Girod,James Noble 0001,Aggelos K. Katsaggelos,C.-C. Jay Kuo,Stphane Ducasse,A. Murat Tekalp,Barry W. Boehm,Karen O. Egiazarian,Ioannis Pitas,
Nicholas R. Jennings,Michael Wooldridge,John-Jules Ch. Meyer,Frank Dignum,Victor R. Lesser,Jan Treur,Milind Tambe,Leendert W. N. van der Torre,Simon Parsons,Munindar P. Singh,
Erik D. Demaine,Paul G. Spirakis,David Peleg,Micha Sharir,Pankaj K. Agarwal,Kazuo Iwama,Yishay Mansour,Bernhard Schlkopf,S. Muthukrishnan,Kurt Mehlhorn,
Wen Gao 0001,Edwin R. Hancock,Thomas S. Huang,HongJiang Zhang,Josef Kittler,Alberto Del Bimbo,Anil K. Jain 0001,Qi Tian,Horst Bunke,Wei-Ying Ma,
Minglu Li 0001,Hai Jin,Jinxiang Dong,Tharam S. Dillon,Shusaku Tsumoto,Licheng Jiao,Sungyoung Lee,Ning Zhong 0001,Elizabeth Chang,Zhongzhi Shi,
Toshio Fukuda,Ning Xi,Luc J. Van Gool,Edwin R. Hancock,Gerd Hirzinger,Roberto Cipolla,Atsuo Takanishi,Roland Siegwart,Katsushi Ikeuchi,Rdiger Dillmann,
